insert into Don_hang (kh_id, hang_id, so_luong) values (4, 1, 5);
insert into Don_hang (kh_id, hang_id, so_luong) values (12, 20, 4);
insert into Don_hang (kh_id, hang_id, so_luong) values (3, 6, 6);
insert into Don_hang (kh_id, hang_id, so_luong) values (14, 8, 8);
insert into Don_hang (kh_id, hang_id, so_luong) values (18, 6, 6);
insert into Don_hang (kh_id, hang_id, so_luong) values (12, 4, 7);
insert into Don_hang (kh_id, hang_id, so_luong) values (6, 3, 3);
insert into Don_hang (kh_id, hang_id, so_luong) values (19, 18, 5);
insert into Don_hang (kh_id, hang_id, so_luong) values (3, 1, 6);
insert into Don_hang (kh_id, hang_id, so_luong) values (1, 17, 6);
insert into Don_hang (kh_id, hang_id, so_luong) values (15, 7, 8);
insert into Don_hang (kh_id, hang_id, so_luong) values (16, 3, 1);
insert into Don_hang (kh_id, hang_id, so_luong) values (2, 15, 2);
insert into Don_hang (kh_id, hang_id, so_luong) values (2, 16, 8);
insert into Don_hang (kh_id, hang_id, so_luong) values (12, 6, 4);
insert into Don_hang (kh_id, hang_id, so_luong) values (9, 3, 4);
insert into Don_hang (kh_id, hang_id, so_luong) values (11, 11, 2);
insert into Don_hang (kh_id, hang_id, so_luong) values (8, 15, 3);
insert into Don_hang (kh_id, hang_id, so_luong) values (12, 16, 7);
insert into Don_hang (kh_id, hang_id, so_luong) values (15, 17, 7);
